,year,index,city_or_county,incident_id,latitude,longitude
23599,2017,AL,Birmingham (Forestdale),2,33.584,-86.8873
23600,2017,AL,Birmingham (Grayson Valley),1,33.6572,-86.6312
23601,2017,AL,Birmingham (Homewood),3,33.466499999999996,-86.82286666666668
23602,2017,AL,Birmingham (Hoover),5,33.37916,-86.83084
23603,2017,AL,Birmingham (Irondale),3,33.480333333333334,-86.74163333333333
23604,2017,AL,Birmingham (Midfield),4,33.47215,-86.899575
23605,2017,AL,Birmingham (Mountain Brook),4,33.501925,-86.7476
23606,2017,AL,Birmingham (Tarrant),6,33.57736666666666,-86.77178333333332
23607,2017,AL,Birmingham (Vestavia Hills),3,33.431000000000004,-86.78643333333332
23608,2017,AL,Blount (county),1,34.0832,-86.5882
23609,2017,AL,Blountsville,2,34.071,-86.5298
23610,2017,AL,Boaz,2,34.13475,-86.1746
23611,2017,AL,Brewton,4,31.1528,-87.15635
23612,2017,AL,Brierfield,1,33.0357,-86.9742
23613,2017,AL,Brundidge,1,31.7213,-85.8261
23614,2017,AL,Bryant,1,34.8873,-85.6192
23615,2017,AL,Butler,1,32.055,-88.2948
23616,2017,AL,Calera,1,33.1469,-86.7474
23617,2017,AL,Calhoun (county),1,33.828,-85.7807
23618,2017,AL,Centre,1,34.152,-85.679
23619,2017,AL,Centreville,1,32.9775,-87.1351
23620,2017,AL,Chelsea,2,33.3155,-86.66550000000001
23621,2017,AL,Cherokee,1,34.7554,-87.9755
23622,2017,AL,Childersburg,1,33.279,-86.3641
23623,2017,AL,Chilton (county),1,32.8303,-86.6521
23624,2017,AL,Citronelle,1,31.0403,-88.2276
23625,2017,AL,Clanton,4,32.854725,-86.612475
23626,2017,AL,Clay,1,33.7061,-86.6082
23627,2017,AL,Cleveland,1,33.9929,-86.5835
23628,2017,AL,Cloverdale,1,32.352,-86.2954
23629,2017,AL,Coaling,1,33.1541,-87.3358
23630,2017,AL,Columbia,1,31.3512,-85.175
23631,2017,AL,Columbiana,1,33.1479,-86.6498
23632,2017,AL,Courtland (North Courtland),1,34.6746,-87.3048
23633,2017,AL,Crenshaw (county),1,31.7652,-86.1925
23634,2017,AL,Crossville,1,34.2561,-86.0261
23635,2017,AL,Cullman,7,34.151500000000006,-86.85825714285714
23636,2017,AL,Dadeville,4,32.818675000000006,-85.77667500000001
23637,2017,AL,Daleville (Level Plains),1,31.2704,-85.7669
23638,2017,AL,Dallas (county),1,32.419000000000004,-87.0346
23639,2017,AL,Danville,1,34.3688,-87.1078
23640,2017,AL,Daphne,3,30.6277,-87.90493333333335
23641,2017,AL,Deatsville,1,32.543,-86.40799999999999
23642,2017,AL,Decatur,15,34.58211333333333,-86.99058666666664
23643,2017,AL,Deer Park,1,31.2199,-88.3101
23644,2017,AL,Delta,1,33.41,-85.6375
23645,2017,AL,Demopolis,1,32.4986,-87.8219
23646,2017,AL,Docena,1,33.5607,-86.9295
23647,2017,AL,Dora,1,33.7185,-86.99
23648,2017,AL,Dothan,24,31.2256125,-85.3957125
23649,2017,AL,Dothan (Kinsey),1,31.2874,-85.3458
23650,2017,AL,Dothan (Rehobeth),1,31.1551,-85.4467
23651,2017,AL,Double Springs,1,34.1527,-87.4025
23652,2017,AL,Eight Mile,4,30.780225,-88.156975
23653,2017,AL,Elba,1,31.4022,-86.0136
23654,2017,AL,Elberta,1,30.4217,-87.5723
23655,2017,AL,Elkmont,1,34.9178,-86.9088
23656,2017,AL,Elmore,1,32.5285,-86.3629
23657,2017,AL,Enterprise,5,31.326020000000007,-85.84356
23658,2017,AL,Ethelsville,1,33.4781,-88.2395
23659,2017,AL,Etowah (county),1,34.0224,-85.9764
23660,2017,AL,Eufaula,9,31.882577777777776,-85.15597777777778
23661,2017,AL,Fairfield,13,33.48831538461539,-86.91308461538462
23662,2017,AL,Fairhope,4,30.52525,-87.8759
23663,2017,AL,Falkville,1,34.3228,-87.0508
23664,2017,AL,Five Points,1,33.0741,-85.2865
23665,2017,AL,Flomaton,1,31.0015,-87.2725
23666,2017,AL,Florala,1,31.0101,-86.3309
23667,2017,AL,Florence,8,34.8075625,-87.67417499999999
23668,2017,AL,Foley,3,30.38246666666667,-87.66933333333333
23669,2017,AL,Fort Deposit,1,32.0186,-86.5261
23670,2017,AL,Fort Mitchell,1,32.3506,-85.03399999999999
23671,2017,AL,Fort Payne,2,34.525400000000005,-85.69749999999999
23672,2017,AL,Fultondale,1,33.6149,-86.7981
23673,2017,AL,Gadsden,7,34.00385714285714,-85.98944285714285
23674,2017,AL,Gadsden (East Gadsden),1,34.0224,-85.9764
23675,2017,AL,Gadsden (Hokes Bluff),1,34.0002,-85.8588
23676,2017,AL,Gallion,2,32.4578,-87.79085
23677,2017,AL,Gardendale,2,33.66225,-86.7947
23678,2017,AL,Geneva (county),1,31.088,-85.55
23679,2017,AL,Georgiana,1,31.64,-86.7318
23680,2017,AL,Goodwater,2,33.089650000000006,-86.03710000000001
23681,2017,AL,Gordon,1,31.1422,-85.1117
23682,2017,AL,Grady,1,31.9929,-86.1059
23683,2017,AL,Grand Bay,4,30.506749999999997,-88.33624999999999
23684,2017,AL,Greensboro,2,32.6607,-87.6195
23685,2017,AL,Greenville,5,31.83168,-86.62859999999999
23686,2017,AL,Gulf Shores,3,30.260966666666665,-87.79026666666668
23687,2017,AL,Guntersville,1,34.3111,-86.31299999999999
23688,2017,AL,Hamilton,2,34.131249999999994,-88.05414999999999
23689,2017,AL,Hartselle,3,34.4754,-86.9651
23690,2017,AL,Hayden,1,33.8759,-86.882
23691,2017,AL,Hayneville,2,32.17555,-86.6729
23692,2017,AL,Hazel Green,5,34.93654,-86.59856
23693,2017,AL,Helena,1,33.3041,-86.9046
23694,2017,AL,Henagar,1,34.6631,-85.6275
23695,2017,AL,Hollywood,1,34.7256,-85.9752
23696,2017,AL,Houston (county),1,31.0217,-85.3498
23697,2017,AL,Huntsville,81,34.74423456790123,-86.60650123456793
23698,2017,AL,Jackson,1,31.526,-87.8874
23699,2017,AL,Jacksonville,3,33.82056666666667,-85.77623333333334
23700,2017,AL,Jasper,4,33.8536,-87.184
23701,2017,AL,Jefferson (county),1,33.6594,-86.7342
23702,2017,AL,Jemison,2,32.9625,-86.68430000000001
23703,2017,AL,Killen,3,34.869233333333334,-87.50123333333335
23704,2017,AL,Lafayette,1,33.0087,-85.3999
23705,2017,AL,Lanett,3,32.8538,-85.2074
23706,2017,AL,Lapine,1,31.921,-86.3582
23707,2017,AL,Lauderdale (county),2,34.90260000000001,-87.67645
23708,2017,AL,Lawrence (county),2,34.4937,-87.2698
23709,2017,AL,Leeds,4,33.539475,-86.547725
23710,2017,AL,Leesburg,1,34.1779,-85.7612
23711,2017,AL,Lillian,1,30.4117,-87.4401
23712,2017,AL,Limestone (county),1,34.9195,-86.8745
23713,2017,AL,Lincoln,1,33.6549,-86.0959
23714,2017,AL,Louisville,1,31.7834,-85.5556
23715,2017,AL,Lowndesboro,1,32.2695,-86.5364
23716,2017,AL,Macon (county),2,32.35665,-85.71764999999999
23717,2017,AL,Madison,13,34.73077692307692,-86.74752307692309
23718,2017,AL,Madison (county),1,34.7146,-86.7416
23719,2017,AL,Marengo (county),1,32.491,-87.8487
23720,2017,AL,Marion,1,32.6298,-87.3186
23721,2017,AL,Mc Calla,4,33.320049999999995,-87.03135
23722,2017,AL,Meridianville,2,34.8664,-86.58115000000001
23723,2017,AL,Millbrook,5,32.474720000000005,-86.35702
23724,2017,AL,Mobile,197,30.672643367346915,-88.12133877551021
23725,2017,AL,Mobile (Chickasaw),3,30.7427,-88.06866666666667
23726,2017,AL,Mobile (Prichard),18,30.73052777777777,-88.08487777777776
23727,2017,AL,Mobile (county),1,30.6459,-88.2394
23728,2017,AL,Monroeville,3,31.494600000000002,-87.32273333333335
23729,2017,AL,Montevallo,2,33.11435,-86.74119999999999
23730,2017,AL,Montgomery,138,32.353829710144915,-86.28235652173909
23731,2017,AL,Montgomery (Chisolm),1,32.4127,-86.2768
23732,2017,AL,Montgomery (county),1,32.2369,-86.2835
23733,2017,AL,Moody,2,33.5839,-86.49525
23734,2017,AL,Moulton,1,34.4611,-87.2462
23735,2017,AL,Moundville,1,32.9975,-87.6259
23736,2017,AL,Mount Vernon,1,31.1023,-87.9939
23737,2017,AL,Mulga,2,33.54175,-86.98845
23738,2017,AL,Muscle Shoals,3,34.76156666666667,-87.59763333333335
23739,2017,AL,Nauvoo,1,33.9588,-87.5685
23740,2017,AL,New Brockton,1,31.4092,-85.8849
23741,2017,AL,New Hope,1,34.5148,-86.3841
23742,2017,AL,Northport,1,33.2284,-87.5733
23743,2017,AL,Notasulga,1,32.5567,-85.7184
23744,2017,AL,Odenville,1,33.6498,-86.4488
23745,2017,AL,Ohatchee,1,33.7319,-86.0549
23746,2017,AL,Opelika,14,32.64825714285714,-85.3735
23747,2017,AL,Opp,3,31.2719,-86.26383333333332
23748,2017,AL,Orrville,1,32.3063,-87.2465
23749,2017,AL,Oxford,3,33.5987,-85.85743333333333
23750,2017,AL,Ozark,5,31.47194,-85.65484000000001
23751,2017,AL,Pelham,3,33.2966,-86.80463333333334
23752,2017,AL,Pell City,3,33.60863333333333,-86.28226666666666
23753,2017,AL,Perdido,2,31.00965,-87.66454999999999
23754,2017,AL,Phenix City,17,32.455600000000004,-85.01995882352941
23755,2017,AL,Phil Campbell,1,34.3677,-87.7302
23756,2017,AL,Piedmont,3,33.91303333333333,-85.54626666666667
23757,2017,AL,Piedmont (Borden Springs),1,33.9428,-85.4462
23758,2017,AL,Pike Road,2,32.376450000000006,-86.0441
23759,2017,AL,Pine Hill,4,31.9945,-87.5051
23760,2017,AL,Pinson,1,33.6991,-86.6069
23761,2017,AL,Pisgah,1,34.6953,-85.8067
23762,2017,AL,Pleasant Grove,1,33.562,-86.9338
23763,2017,AL,Prattville,12,32.46665,-86.454325
23764,2017,AL,Quinton,1,33.69,-87.0782
23765,2017,AL,Ragland,1,33.68,-86.2129
23766,2017,AL,Rainbow City,2,33.96155,-86.03739999999999
23767,2017,AL,Rainsville,1,34.5023,-85.8435
23768,2017,AL,Red Bay,1,34.4575,-88.1412
23769,2017,AL,Robertsdale,3,30.55643333333333,-87.60766666666666
23770,2017,AL,Rockford,1,32.8672,-86.2155
23771,2017,AL,Rogersville,1,34.8488,-87.391
23772,2017,AL,Russellville,2,34.517250000000004,-87.72725
23773,2017,AL,Safford,1,32.2881,-87.3704
23774,2017,AL,Saraland,3,30.814966666666667,-88.08749999999999
23775,2017,AL,Selma,34,32.40628823529411,-87.00629411764704
23776,2017,AL,Semmes,6,30.79263333333333,-88.25735000000002
23777,2017,AL,Sheffield,3,34.7571,-87.69330000000001
23778,2017,AL,Shelby (county),1,33.3609,-86.6584
23779,2017,AL,Smiths Station,1,32.5029,-85.0767
23780,2017,AL,Somerville,1,34.4764,-86.8117
23781,2017,AL,Springville,1,33.7767,-86.4301
23782,2017,AL,Sterrett,1,33.3516,-86.5709
23783,2017,AL,Stockton,2,31.138199999999998,-87.81954999999999
23784,2017,AL,Sumiton,1,33.7491,-87.0495
23785,2017,AL,Summerdale,2,30.48705,-87.7173
23786,2017,AL,Sylacauga,2,33.098,-86.25995
23787,2017,AL,Talladega,3,33.516533333333335,-86.08553333333333
23788,2017,AL,Theodore,8,30.517925000000005,-88.17975000000001
23789,2017,AL,Toney,1,34.8757,-86.8161
23790,2017,AL,Troy,6,31.804083333333335,-85.96488333333333
23791,2017,AL,Trussville,5,33.61800000000001,-86.61048000000001
23792,2017,AL,Tuscaloosa,54,33.19103888888889,-87.54548333333331
23793,2017,AL,Tuscaloosa (county),1,33.2343,-87.4835
23794,2017,AL,Tuscumbia,7,34.710342857142855,-87.6987
23795,2017,AL,Tuskegee,5,32.415859999999995,-85.70512
23796,2017,AL,Union Grove,1,34.4576,-86.5814
23797,2017,AL,Union Springs,5,32.14574,-85.71018
23798,2017,AL,Valley,4,32.750975,-85.20770000000002
23799,2017,AL,Valley Head,1,34.5902,-85.6404
23800,2017,AL,Vernon,1,33.7543,-88.1053
23801,2017,AL,Warrior,3,33.806000000000004,-86.79466666666667
23802,2017,AL,Wetumpka,1,32.5381,-86.2625
23803,2017,AL,Wilmer,2,30.829050000000002,-88.30645
23804,2017,AL,Winfield,1,33.9353,-87.8407
23805,2017,AL,Winston (county),1,34.2238,-87.6057
23806,2017,AL,York,4,32.492525,-88.310825
23807,2017,AR,Alexander,3,34.645100000000006,-92.47993333333334
23808,2017,AR,Almyra,1,34.4077,-91.4067
23809,2017,AR,Altheimer,1,34.3227,-91.84200000000001
23810,2017,AR,Ash Flat,2,36.234049999999996,-91.63995
23811,2017,AR,Ashdown,2,33.663,-94.13380000000001
23812,2017,AR,Austin,1,35.0199,-92.01100000000001
23813,2017,AR,Bald Knob,1,35.3909,-91.5791
23814,2017,AR,Batesville,4,35.768,-91.6381
23815,2017,AR,Bay,1,35.7453,-90.5687
23816,2017,AR,Beebe,1,35.0661,-91.8765
23817,2017,AR,Bella Vista,2,36.4632,-94.20765
23818,2017,AR,Benton,4,34.586175,-92.586375
23819,2017,AR,Bentonville,1,36.3357,-94.2225
23820,2017,AR,Blytheville,20,35.92382500000001,-89.90617
23821,2017,AR,Booneville,1,35.1249,-93.9524
23822,2017,AR,Bradley (county),1,33.6124,-92.0776
23823,2017,AR,Brookland,2,35.91335,-90.58760000000001
23824,2017,AR,Bull Shoals,1,36.3793,-92.5871
23825,2017,AR,Cabot,1,34.8896,-92.0112
23826,2017,AR,Calico Rock,1,36.1457,-92.1298
23827,2017,AR,Cash,1,35.7933,-90.9366
23828,2017,AR,Centerton,1,36.3554,-94.2902
23829,2017,AR,Cherokee Village,1,36.3158,-91.4825
23830,2017,AR,Clarkridge,2,36.49065,-92.33595
23831,2017,AR,Clarksville,2,35.481700000000004,-93.48285
23832,2017,AR,Cleburne (county),2,35.4796,-92.0154
23833,2017,AR,Conway,7,35.0722,-92.423
23834,2017,AR,Corning,1,36.4158,-90.5718
23835,2017,AR,Cotter,1,36.2752,-92.5291
23836,2017,AR,Craighead (county),1,35.8292,-90.7258
23837,2017,AR,Crossett,1,33.1367,-91.9633
23838,2017,AR,Damascus,1,35.3558,-92.4138
23839,2017,AR,Danville,1,35.0794,-93.3944
23840,2017,AR,Dardanelle,1,35.1812,-93.2518
23841,2017,AR,Desha,1,35.7299,-91.6838
23842,2017,AR,Dover,2,35.379400000000004,-93.07480000000001
23843,2017,AR,Dumas,1,33.8894,-91.499
23844,2017,AR,Earle,1,35.2638,-90.4561
23845,2017,AR,El Dorado,5,33.20628,-92.66637999999999
23846,2017,AR,Emmet,1,33.7478,-93.4782
23847,2017,AR,Farmington,1,36.0356,-94.2466
23848,2017,AR,Faulkner (county),1,35.0261,-92.4097
23849,2017,AR,Fayetteville,16,36.0744375,-94.1665
23850,2017,AR,Flippin,1,36.2761,-92.5726
23851,2017,AR,Forrest City,17,35.01305,-90.78765625000001
23852,2017,AR,Fort Smith,28,35.37791111111111,-94.39822592592597
23853,2017,AR,Fouke,2,33.281949999999995,-93.88159999999999
23854,2017,AR,Gamaliel,1,36.4327,-92.24600000000001
23855,2017,AR,Garfield,2,36.4453,-94.0128
23856,2017,AR,Genoa,1,33.3898,-93.9358
23857,2017,AR,Gillett,1,34.1272,-91.376
23858,2017,AR,Gosnell,1,35.9524,-89.9695
23859,2017,AR,Grannis,1,34.2811,-94.3094
23860,2017,AR,Hackett,1,35.2052,-94.3911
23861,2017,AR,Hampton,1,33.5288,-92.45700000000001
23862,2017,AR,Hardy,1,36.2999,-91.5475
23863,2017,AR,Harrison,4,36.254425,-93.08665
23864,2017,AR,Heber Springs,1,35.3941,-91.9836
23865,2017,AR,Hector,1,35.4584,-92.9979
23866,2017,AR,Helena,10,34.538288888888886,-90.62902222222222
23867,2017,AR,Hensley,1,34.5027,-92.2001
23868,2017,AR,Hermitage,1,33.2424,-92.0875
23869,2017,AR,Heth,1,35.1023,-90.4669
23870,2017,AR,Hindsville,1,36.1955,-93.8432
23871,2017,AR,Hope,4,33.67215,-93.594425
23872,2017,AR,Hot Springs National Park,3,34.46816666666666,-93.08716666666668
23873,2017,AR,Hot Springs National Park (Hot Springs),28,34.48524814814815,-93.05798148148145
23874,2017,AR,Huntsville,2,36.1275,-93.772
23875,2017,AR,Jackson (county),1,35.8285,-91.1261
23876,2017,AR,Jacksonville,12,34.888016666666665,-92.105575
23877,2017,AR,Jessieville,1,34.7012,-93.0649
23878,2017,AR,Jonesboro,73,35.83829714285713,-90.69789142857142
23879,2017,AR,Lake City,2,35.858450000000005,-90.43639999999999
23880,2017,AR,Lakeview,1,36.4001,-92.5204
23881,2017,AR,Lepanto,1,35.6132,-90.3397
23882,2017,AR,Lewisville,1,33.3596,-93.5846
23883,2017,AR,Lincoln,1,,
23884,2017,AR,Little Rock,282,34.718819855595655,-92.32971083032493
23885,2017,AR,Lonoke,1,34.7789,-91.8989
23886,2017,AR,Lonsdale,3,34.553200000000004,-92.79650000000001
23887,2017,AR,Mabelvale,2,34.57715,-92.38255000000001
23888,2017,AR,Magnolia,1,33.2672,-93.2092
23889,2017,AR,Malvern,1,34.4688,-92.8294
23890,2017,AR,Manila,1,35.8441,-90.1947
23891,2017,AR,Marianna,2,34.76575,-90.77045000000001
23892,2017,AR,Marion,3,35.219699999999996,-90.18196666666667
23893,2017,AR,Marmaduke,2,36.210499999999996,-90.39775
23894,2017,AR,Maumelle,1,34.8624,-92.4071
23895,2017,AR,Mayflower,3,34.9595,-92.45119999999999
23896,2017,AR,Monticello,5,33.56538,-91.7776
23897,2017,AR,Morrilton,1,35.1521,-92.7301
23898,2017,AR,Mountain Home,6,36.33293333333334,-92.3713
23899,2017,AR,Mountainburg,1,35.6241,-94.1585
23900,2017,AR,Mulberry,1,35.5018,-94.0507
23901,2017,AR,Newark,1,35.7025,-91.448
23902,2017,AR,Newport,3,35.6052,-91.27336666666667
23903,2017,AR,Newton (county),1,36.0082,-93.18700000000001
23904,2017,AR,Norfork,1,36.2082,-92.2843
23905,2017,AR,North Little Rock,41,34.7884325,-92.26900750000001
23906,2017,AR,Osceola,1,35.6988,-90.0481
23907,2017,AR,Ouachita (county),1,33.6515,-92.7799
23908,2017,AR,Ozark,1,35.5359,-93.8134
23909,2017,AR,Paragould,5,36.059250000000006,-90.48015000000001
23910,2017,AR,Parkin,2,35.2659,-90.55250000000001
23911,2017,AR,Peel,1,36.4593,-92.7469
23912,2017,AR,Pine Bluff,43,34.21337906976745,-92.02413720930234
23913,2017,AR,Prescott,1,33.7918,-93.3773
23914,2017,AR,Pulaski (county),1,34.8379,-92.1655
23915,2017,AR,Quitman,1,35.3408,-92.2754
23916,2017,AR,Ravenden,1,36.236999999999995,-91.2485
23917,2017,AR,Rogers,5,36.318619999999996,-94.12674
23918,2017,AR,Rogers (Little Flock),1,36.3596,-94.1443
23919,2017,AR,Rose Bud,1,35.3308,-91.9691
23920,2017,AR,Russellville,5,35.304520000000004,-93.09048
23921,2017,AR,Scott,1,34.6649,-92.0358
23922,2017,AR,Searcy,4,35.2495,-91.7385
23923,2017,AR,Searcy (county),1,35.9136,-92.6198
23924,2017,AR,Sebastian (county),1,35.3593,-94.3657
23925,2017,AR,Sheridan,3,34.30643333333333,-92.3523
23926,2017,AR,Sherwood,4,34.87327500000001,-92.228875
23927,2017,AR,Siloam Springs,2,36.1669,-94.50229999999999
23928,2017,AR,Springdale,9,36.175488888888886,-94.1276111111111
23929,2017,AR,Springdale (Bethel Heights),1,36.2323,-94.1216
23930,2017,AR,Star City,2,33.94105,-91.82714999999999
23931,2017,AR,Strong,1,33.1106,-92.3616
23932,2017,AR,Stuttgart,2,34.5058,-91.5623
23933,2017,AR,Texarkana,12,33.43705,-94.02211666666665
23934,2017,AR,Trumann,1,35.6722,-90.5188
23935,2017,AR,Tucker,1,34.4386,-91.9137
23936,2017,AR,Van Buren,2,35.418,-94.31434999999999
23937,2017,AR,Vilonia,2,35.08515,-92.22945
23938,2017,AR,Waldron,1,34.7946,-94.2071
23939,2017,AR,Walnut Ridge,1,35.9044,-90.9439
23940,2017,AR,Ward,1,34.993,-91.8943
23941,2017,AR,Warren,1,33.6123,-92.0637
23942,2017,AR,West Fork,1,35.8953,-94.1417
23943,2017,AR,West Helena,5,34.54278,-90.64452
23944,2017,AR,West Memphis,10,35.14686666666667,-90.16997777777777
23945,2017,AR,White Hall,1,34.2823,-92.1118
23946,2017,AR,Wilmar,1,33.6167,-91.9283
23947,2017,AR,Wynne,4,35.226350000000004,-90.79195
23948,2017,AR,Yellville,1,36.228,-92.6233
23949,2017,AZ,Ajo,1,32.3783,-112.865
